34,Old Navy,Cargo,30,32,,,30,10.25,15,10.5,31.75,11.5,9.5,41.25,9,http://oldnavy.gap.com/browse/product.do?cid=15318&vid=1&pid=859470&scid=859470002,http://www2.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/859/859470/big/on859470-00vliv01.jpg
6,Old Navy,Classic Khakis,30,32,,,31.5,10,14.75,10,31,11.5,9.5,40.5,9,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
7,Old Navy,Classic Khakis,31,32,,,32,10.5,15,10,32,11.75,9.5,42,9.25,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
8,Old Navy,Classic Khakis,34,32,,,34,11.5,15.75,11,32,13,9.5,42,10,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
9,Old Navy,Classic Khakis,32,34,,,33,11,16,10.5,33.5,12,10,44,9.5,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
29,Old Navy,Classic Khakis,33,32,,,33,11,15.75,11.25,31.5,12.25,9.75,42,9.5,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
30,Old Navy,Classic Khakis,32,32,,,31,10.5,15,10.25,31.5,11.5,9.5,41,9.25,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
54,Old Navy,Classic Khakis,32,32,,,32.5,10.25,14.5,11.5,32.25,12,9.5,42.75,8.75,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
59,Old Navy,Classic Khakis,32,32,,,32,10.75,15.5,10.75,31.75,12.5,9.75,41.5,9.25,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
31,Old Navy,Classic Khakis,32,32,,,31,11,15.5,11,31.5,12.25,10,42,9.75,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
32,Old Navy,Classic Khakis,33,32,,,32,11.5,15.5,10.25,31.75,12,10.25,43,10,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496002,http://www4.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633496/big/on633496-00vliv01.jpg
16,Old Navy,Loose Cargo,32,32,,,33,11,15.5,13,32,12.5,10.5,41.5,10,http://oldnavy.gap.com/browse/product.do?cid=15318&vid=1&pid=633497&scid=633497032,http://www3.assets-gap.com/Asset_Archive/ONWeb/Assets/Product/633/633497/big/on633497-03vliv01.jpg
10,Old Navy,Relaxed,30,32,,,31,10.5,15.25,10.5,32,11.5,10,42,9.5,,
11,Old Navy,Relaxed,31,32,,,32,11,15.5,10.5,32,12,10,43,10,,
12,Old Navy,Relaxed,34,32,,,34,12,16.5,11,32,13,10.5,43,10,,
18,Gap,Classic Relaxed,31,30,,,32,11,16,10.5,29.75,12.5,10,39.5,9,http://www.gap.com/browse/product.do?cid=42976&vid=1&pid=772337&scid=772337022,http://www4.assets-gap.com/Asset_Archive/GPWeb/Assets/Product/772/772337/big/gp772337-02vliv01.jpg
38,Gap,Classic Relaxed,32,30,,,31.5,10.75,14.5,10.75,29.5,12.5,10,39.75,9,http://www.gap.com/browse/product.do?cid=42976&vid=1&pid=772337&scid=772337022,http://www4.assets-gap.com/Asset_Archive/GPWeb/Assets/Product/772/772337/big/gp772337-02vliv01.jpg
41,Gap,Classic Slim,32,30,,,32,10.75,14.5,10.5,29.75,11.5,8.25,40.75,7.75,http://www.gap.com/browse/product.do?cid=42976&vid=1&pid=757376,http://www1.assets-gap.com/Asset_Archive/GPWeb/Assets/Product/757/757376/big/gp757376-00vliv01.jpg
