Pair 1,Pair 2,Pair 3,id,zappos,picUrl,productUrl,dateAdded,title,brand,style,waist_size,length_size,material,color,waist,front_rise,back_rise,hips,inseam,thigh,knee,outseam,cuff,country_of_origin,their_description_of_fit,their_description_of_leg,their_description_of_sit,rn,other1,other2,other3,other4,measurer,date_measured,source
,,,31,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,48,None,None,None,30.5,10,None,None,36,None,None,45.5,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,32,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,50,None,None,None,32.5,10,None,None,36,None,None,45.5,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,33,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,52,None,None,None,34,10,None,None,36,None,None,46,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,34,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,54,None,None,None,35.5,10,None,None,36.5,None,None,46.5,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,35,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,56,None,None,None,37,10,None,None,37,None,None,46.5,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,36,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,58,None,None,None,38.5,10,None,None,37.5,None,None,47,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,37,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,60,None,None,None,40,10.5,None,None,37.5,None,None,47,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,38,FALSE,http://www.mrporter.com/images/products/300945/300945_mrp_in_m2.jpg,http://www.mrporter.com/product/300945,6/11/11 2:45,Linen Blend Chinos,Incotex,None,62,None,None,None,41.5,10.5,None,None,37.5,None,None,47,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,39,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,46,None,None,None,34,9,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
color 2,,,40,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,48,None,None,None,34.5,9,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,41,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,50,None,None,None,35.5,9.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,42,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,52,None,None,None,36,9.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,43,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,54,None,None,None,37,9.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,44,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,56,None,None,None,38.5,10,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
